area_code,area_name,area_type_name,minimum_period_ratio,mean_period_ratio,access_tier,purpose,feature_snapshot_date,is_static_auxiliary,historical_2025_use_allowed,coverage_status,operation_status,culture_inside_count,culture_buffer400_count,culture_nearby_only_count,culture_inside_diversity,culture_buffer400_diversity,culture_core_inside_count,culture_core_buffer400_count,has_observed_core_inside,has_observed_core_buffer400,operation_verified_open_count,operation_unknown_count,open_now,observed_culture_nearest_distance_m,poi_museum_inside_count,has_museum_inside,poi_museum_buffer400_count,has_museum_buffer400,poi_museum_nearby_only_count,poi_art_gallery_inside_count,has_art_gallery_inside,poi_art_gallery_buffer400_count,has_art_gallery_buffer400,poi_art_gallery_nearby_only_count,poi_performance_hall_inside_count,has_performance_hall_inside,poi_performance_hall_buffer400_count,has_performance_hall_buffer400,poi_performance_hall_nearby_only_count,poi_cinema_inside_count,has_cinema_inside,poi_cinema_buffer400_count,has_cinema_buffer400,poi_cinema_nearby_only_count,poi_cultural_center_inside_count,has_cultural_center_inside,poi_cultural_center_buffer400_count,has_cultural_center_buffer400,poi_cultural_center_nearby_only_count,poi_exhibition_space_inside_count,has_exhibition_space_inside,poi_exhibition_space_buffer400_count,has_exhibition_space_buffer400,poi_exhibition_space_nearby_only_count,poi_park_inside_count,has_park_inside,poi_park_buffer400_count,has_park_buffer400,poi_park_nearby_only_count,poi_sports_facility_inside_count,has_sports_facility_inside,poi_sports_facility_buffer400_count,has_sports_facility_buffer400,poi_sports_facility_nearby_only_count,operation_source_active_count,feature_reference_date_min,feature_reference_date_max,poi_source_count
3110008,배화여자대학교(박노수미술관),골목상권,0.6916167664670658,0.7235528942115769,base_50pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,4,15,11,3,5,4,14,1,1,,15,,0.0,0,0,0,0,0,1,1,3,1,2,1,1,1,1,0,0,0,0,0,0,0,0,2,1,2,2,1,8,1,6,0,0,1,1,1,0,0,0,0,0,0,2025-11-01,2026-09-16,3
3001494,종로·청계 관광특구,관광특구,0.9940119760479041,0.9950099800399202,core_80pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,7,50,43,5,7,6,47,1,1,,46,,0.0,1,1,8,1,7,2,1,4,1,2,1,1,9,1,8,0,0,4,1,4,0,0,1,1,1,2,1,21,1,19,1,1,3,1,2,0,0,0,0,0,4,2025-06-13,2026-09-16,4
3130021,신설종합시장,전통시장,0.9940119760479041,0.9960079840319361,core_80pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,0,1,1,0,1,0,0,0,0,,1,,150.8630054094406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2025-11-28,2025-11-28,1
3130002,세종마을음식문화거리(금천교시장),전통시장,0.6916167664670658,0.7235528942115769,base_50pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,1,15,14,1,6,1,14,1,1,,15,,0.0,0,0,3,1,3,0,0,2,1,2,0,0,1,1,1,0,0,0,0,0,1,1,2,1,1,0,0,6,1,6,0,0,1,1,1,0,0,0,0,0,0,2025-11-01,2026-09-16,3
3130001,통인시장,전통시장,0.5359281437125748,0.6037924151696608,base_50pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,1,12,11,1,4,1,12,1,1,,12,,0.0,0,0,0,0,0,0,0,2,1,2,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,8,1,7,0,0,0,0,0,0,0,0,0,0,0,2025-11-01,2026-09-16,2
3130020,동묘시장(동묘벼룩시장),전통시장,0.9880239520958084,0.9900199600798403,core_80pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,0,2,2,0,2,0,1,0,1,,2,,27.28310825198845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,2025-11-28,2026-09-16,2
3130019,동대문상가D동,전통시장,0.9910179640718563,0.9930139720558881,core_80pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,0,2,2,0,2,0,1,0,1,,2,,319.00769946049417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,2025-11-28,2026-09-16,2
3130018,동대문문구완구거리(동대문문구완구시장),전통시장,0.9850299401197605,0.9890219560878243,core_80pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,0,3,3,0,3,0,2,0,1,,3,,65.70318008474507,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,2025-11-28,2026-09-16,2
3130017,동대문상가C동,전통시장,0.9850299401197605,0.9890219560878243,core_80pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,0,1,1,0,1,0,1,0,1,,1,,318.25371806747694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2026-09-16,2026-09-16,1
3130016,동대문상가B동,전통시장,0.9760479041916168,0.9840319361277445,core_80pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,0,3,3,0,3,0,3,0,1,,2,,295.8598263252456,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2025-12-15,2026-09-16,2
3130015,창신골목시장,전통시장,0.9850299401197605,0.9890219560878243,core_80pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,0,2,2,0,2,0,2,0,1,,2,,134.4895219606068,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2026-09-16,2026-09-16,1
3130014,동문시장,전통시장,0.9760479041916168,0.9840319361277445,core_80pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,0,3,3,0,3,0,3,0,1,,2,,192.00966292350432,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2025-12-15,2026-09-16,2
3130013,동대문상가A동,전통시장,0.9730538922155688,0.9830339321357285,core_80pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,0,3,3,0,3,0,3,0,1,,2,,186.30368160123703,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2025-12-15,2026-09-16,2
3130012,"동대문종합시장(동대문종합시장 신관, 동대문종합시장D동상가)",전통시장,0.9820359281437125,0.9880239520958084,core_80pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,1,4,3,1,3,1,4,1,1,,2,,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2025-12-15,2026-09-16,2
3130011,충신시장,전통시장,0.9431137724550899,0.9560878243512975,core_80pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,0,5,5,0,2,0,5,0,1,,5,,347.15474864606097,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2026-09-16,2026-09-16,1
3130010,종로신진시장,전통시장,0.9820359281437125,0.9880239520958084,core_80pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,0,7,7,0,3,0,7,0,1,,5,,121.71654440741581,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,2,1,2,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,2,2025-12-15,2026-09-16,2
3130009,마전교지하쇼핑센터(구 한일상가),전통시장,0.9311377245508982,0.9520958083832335,core_80pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,0,3,3,0,2,0,3,0,1,,3,,217.15937185509367,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2026-09-16,2026-09-16,1
3130007,광장시장(광장전통시장),전통시장,0.9760479041916168,0.9840319361277445,core_80pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,0,5,5,0,2,0,5,0,1,,5,,96.48387811617273,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2026-09-16,2026-09-16,1
3130005,세운상가가동,전통시장,0.9700598802395209,0.9780439121756488,core_80pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,0,4,4,0,3,0,4,0,1,,3,,90.72696438801113,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,1,2026-05-10,2026-09-16,2
3130004,낙원시장(낙원지하시장(대일상가)),전통시장,0.9431137724550899,0.9610778443113773,core_80pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,2,32,30,2,6,2,31,1,1,,30,,0.0,0,0,6,1,6,0,0,0,0,0,0,0,1,1,1,1,1,2,1,1,1,1,1,1,0,0,0,21,1,21,0,0,1,1,1,0,0,0,0,0,2,2025-11-01,2026-09-16,4
3120017,동묘앞역(동묘),발달상권,0.9850299401197605,0.9890219560878243,core_80pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,0,2,2,0,2,0,1,0,1,,2,,9.059700230216222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,2025-11-28,2026-09-16,2
3120012,대학로(혜화역),발달상권,0.8473053892215568,0.8682634730538922,core_80pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,33,56,23,7,7,32,53,1,1,,55,,0.0,1,1,4,1,3,1,1,2,1,1,27,1,41,1,14,1,1,1,1,0,1,1,1,1,0,1,1,4,1,3,1,1,3,1,2,0,0,0,0,0,1,2025-11-01,2026-09-16,4
3120011,종로4가,발달상권,0.9760479041916168,0.9840319361277445,core_80pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,0,6,6,0,3,0,6,0,1,,5,,90.69124184348573,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,1,1,1,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,1,2026-05-10,2026-09-16,2
3120016,동대문역,발달상권,0.9880239520958084,0.9900199600798403,core_80pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,0,3,3,0,3,0,3,0,1,,2,,139.45904846370487,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2025-12-15,2026-09-16,2
3120015,종로6가,발달상권,0.9670658682634731,0.9790419161676648,core_80pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,0,5,5,0,3,0,5,0,1,,4,,33.503306014215134,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2025-12-15,2026-09-16,2
3120014,종로5가역,발달상권,0.9550898203592815,0.9720558882235529,core_80pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,3,5,2,2,3,3,5,1,1,,4,,0.0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2025-12-15,2026-09-16,2
3120013,이화사거리,발달상권,0.907185628742515,0.9261477045908184,core_80pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,0,9,9,0,4,0,8,0,1,,9,,154.9737974382557,0,0,1,1,1,0,0,0,0,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,2025-11-01,2026-09-16,3
3120009,종로3가역,발달상권,0.9700598802395209,0.9780439121756488,core_80pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,4,53,49,2,7,4,50,1,1,,51,,0.0,3,1,8,1,5,0,0,1,1,1,0,0,4,1,4,1,1,2,1,1,0,0,2,1,2,0,0,33,1,33,0,0,3,1,3,0,0,0,0,0,2,2025-11-01,2026-09-16,4
3120010,원남동사거리,발달상권,0.907185628742515,0.9261477045908184,core_80pct_all_periods,여가문화,2026-09-16,1,0,source_snapshot_partial,mixed_source_status,0,6,6,0,3,0,6,0,1,,6,,244.52781734712278,0,0,2,1,2,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2025-11-01,2026-09-16,2
