group,purpose,threshold_a,threshold_b,n_top_a,n_top_b,overlap_count,overlap_ratio,jaccard,retained_in_b_candidates,retained_ratio
core4,식사,25pct,50pct,10,10,9,0.9,0.8181818181818182,9,0.9
core4,식사,25pct,80pct,10,10,6,0.6,0.42857142857142855,6,0.6
core4,식사,50pct,80pct,10,10,7,0.7,0.5384615384615384,7,0.7
core4,카페,25pct,50pct,10,10,8,0.8,0.6666666666666666,8,0.8
core4,카페,25pct,80pct,10,10,5,0.5,0.3333333333333333,5,0.5
core4,카페,50pct,80pct,10,10,6,0.6,0.42857142857142855,6,0.6
core4,쇼핑,25pct,50pct,10,10,8,0.8,0.6666666666666666,9,0.9
core4,쇼핑,25pct,80pct,10,10,6,0.6,0.42857142857142855,6,0.6
core4,쇼핑,50pct,80pct,10,10,8,0.8,0.6666666666666666,8,0.8
core4,여가문화,25pct,50pct,10,10,9,0.9,0.8181818181818182,9,0.9
core4,여가문화,25pct,80pct,10,10,4,0.4,0.25,4,0.4
core4,여가문화,50pct,80pct,10,10,4,0.4,0.25,4,0.4
study_separate,공부,25pct,50pct,10,10,8,0.8,0.6666666666666666,10,1.0
study_separate,공부,25pct,80pct,10,10,8,0.8,0.6666666666666666,8,0.8
study_separate,공부,50pct,80pct,10,10,8,0.8,0.6666666666666666,10,1.0
