threshold,group,purpose,purpose_rank,area_code,area_name,path_v0_score
25pct,core4,쇼핑,1.0,3120025,롯데백화점(시청광장 지하쇼핑센터),95.75381679389312
25pct,core4,쇼핑,2.0,3001493,동대문패션타운 관광특구,95.28880407124682
25pct,core4,쇼핑,3.0,3120037,동대문역사문화공원역,95.24872773536896
25pct,core4,쇼핑,4.0,3120060,강변역(테크노마트),95.20292620865139
25pct,core4,쇼핑,5.0,3120009,종로3가역,94.54834605597964
25pct,core4,쇼핑,6.0,3120227,잠실역,94.36577608142491
25pct,core4,쇼핑,7.0,3001496,강남 마이스 관광특구,93.86704834605598
25pct,core4,쇼핑,8.0,3120040,용산전자상가(용산역),93.78180661577608
25pct,core4,쇼핑,9.0,3130024,남대문시장(자유상가),93.62277353689568
25pct,core4,쇼핑,10.0,3120243,천호역,93.35114503816794
50pct,core4,쇼핑,1.0,3120025,롯데백화점(시청광장 지하쇼핑센터),95.49763406940062
50pct,core4,쇼핑,2.0,3001493,동대문패션타운 관광특구,95.12933753943217
50pct,core4,쇼핑,3.0,3120060,강변역(테크노마트),95.01892744479495
50pct,core4,쇼핑,4.0,3120037,동대문역사문화공원역,94.77050473186121
50pct,core4,쇼핑,5.0,3120009,종로3가역,94.00867507886434
50pct,core4,쇼핑,6.0,3120227,잠실역,93.92350157728706
50pct,core4,쇼핑,7.0,3130024,남대문시장(자유상가),93.37460567823344
50pct,core4,쇼핑,8.0,3120040,용산전자상가(용산역),93.37223974763407
50pct,core4,쇼핑,9.0,3120011,종로4가,93.10646687697161
50pct,core4,쇼핑,10.0,3130327,"평화시장(남평화시장, 제일평화시장, 신평화패션타운)",93.09463722397476
80pct,core4,쇼핑,1.0,3001493,동대문패션타운 관광특구,94.77538071065989
80pct,core4,쇼핑,2.0,3120025,롯데백화점(시청광장 지하쇼핑센터),94.21065989847713
80pct,core4,쇼핑,3.0,3120037,동대문역사문화공원역,93.25126903553297
80pct,core4,쇼핑,4.0,3120060,강변역(테크노마트),93.21700507614214
80pct,core4,쇼핑,5.0,3120009,종로3가역,92.81472081218274
80pct,core4,쇼핑,6.0,3130327,"평화시장(남평화시장, 제일평화시장, 신평화패션타운)",92.79060913705584
80pct,core4,쇼핑,7.0,3130024,남대문시장(자유상가),92.57994923857868
80pct,core4,쇼핑,8.0,3120011,종로4가,91.71827411167513
80pct,core4,쇼핑,9.0,3001492,명동 남대문 북창동 다동 무교동 관광특구,91.43020304568526
80pct,core4,쇼핑,10.0,3120039,신당역,90.67512690355329
25pct,core4,식사,1.0,3120003,광화문역,94.26399491094146
25pct,core4,식사,2.0,3120006,종각역,92.4211195928753
25pct,core4,식사,3.0,3130195,도화동 상점가,90.91857506361322
25pct,core4,식사,4.0,3120012,대학로(혜화역),90.58333333333331
25pct,core4,식사,5.0,3120026,을지로입구역,90.54611959287531
25pct,core4,식사,6.0,3120022,북창동(시청역_6번),90.01653944020356
25pct,core4,식사,7.0,3120045,남영동 먹자골목,89.77480916030534
25pct,core4,식사,8.0,3120229,방이동먹자골목,88.84860050890583
25pct,core4,식사,9.0,3120001,서대문역,88.68511450381678
25pct,core4,식사,10.0,3120046,이태원(이태원역),88.6412213740458
50pct,core4,식사,1.0,3120003,광화문역,94.27129337539431
50pct,core4,식사,2.0,3120006,종각역,92.48028391167192
50pct,core4,식사,3.0,3120012,대학로(혜화역),90.61750788643532
50pct,core4,식사,4.0,3120026,을지로입구역,90.55086750788644
50pct,core4,식사,5.0,3120022,북창동(시청역_6번),90.03233438485805
50pct,core4,식사,6.0,3120045,남영동 먹자골목,89.73856466876971
50pct,core4,식사,7.0,3120229,방이동먹자골목,89.0481072555205
50pct,core4,식사,8.0,3120001,서대문역,88.80047318611986
