area_code,area_name,feature_snapshot_date,historical_2025_use_allowed,area_type_name,access_tier,coverage_status,operation_status,viewing_exhibition_buffer400_count,has_viewing_exhibition_buffer400,performance_culture_buffer400_count,has_performance_culture_buffer400,outdoor_park_buffer400_count,has_outdoor_park_buffer400,sports_activity_buffer400_count,has_sports_activity_buffer400,leisure_subtype_total_buffer400_count,leisure_subtype_diversity
3110008,배화여자대학교(박노수미술관),2026-09-16,False,골목상권,base_50pct_all_periods,source_snapshot_partial,mixed_source_status,11,True,3,True,1,True,0,False,15,3
3001494,종로·청계 관광특구,2026-09-16,False,관광특구,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,37,True,10,True,3,True,0,False,50,3
3130021,신설종합시장,2026-09-16,False,전통시장,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,0,False,0,False,1,True,0,False,1,1
3130002,세종마을음식문화거리(금천교시장),2026-09-16,False,전통시장,base_50pct_all_periods,source_snapshot_partial,mixed_source_status,11,True,3,True,1,True,0,False,15,3
3130001,통인시장,2026-09-16,False,전통시장,base_50pct_all_periods,source_snapshot_partial,mixed_source_status,10,True,2,True,0,False,0,False,12,2
3130020,동묘시장(동묘벼룩시장),2026-09-16,False,전통시장,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,1,True,0,False,1,True,0,False,2,2
3130019,동대문상가D동,2026-09-16,False,전통시장,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,1,True,0,False,1,True,0,False,2,2
3130018,동대문문구완구거리(동대문문구완구시장),2026-09-16,False,전통시장,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,1,True,1,True,1,True,0,False,3,3
3130017,동대문상가C동,2026-09-16,False,전통시장,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,1,True,0,False,0,False,0,False,1,1
3130016,동대문상가B동,2026-09-16,False,전통시장,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,2,True,1,True,0,False,0,False,3,2
3130015,창신골목시장,2026-09-16,False,전통시장,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,1,True,1,True,0,False,0,False,2,2
3130014,동문시장,2026-09-16,False,전통시장,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,2,True,1,True,0,False,0,False,3,2
3130013,동대문상가A동,2026-09-16,False,전통시장,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,2,True,1,True,0,False,0,False,3,2
3130012,"동대문종합시장(동대문종합시장 신관, 동대문종합시장D동상가)",2026-09-16,False,전통시장,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,3,True,1,True,0,False,0,False,4,2
3130011,충신시장,2026-09-16,False,전통시장,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,1,True,4,True,0,False,0,False,5,2
3130010,종로신진시장,2026-09-16,False,전통시장,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,4,True,3,True,0,False,0,False,7,2
3130009,마전교지하쇼핑센터(구 한일상가),2026-09-16,False,전통시장,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,1,True,2,True,0,False,0,False,3,2
3130007,광장시장(광장전통시장),2026-09-16,False,전통시장,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,2,True,3,True,0,False,0,False,5,2
3130005,세운상가가동,2026-09-16,False,전통시장,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,3,True,1,True,0,False,0,False,4,2
3130004,낙원시장(낙원지하시장(대일상가)),2026-09-16,False,전통시장,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,29,True,2,True,1,True,0,False,32,3
3120017,동묘앞역(동묘),2026-09-16,False,발달상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,1,True,0,False,1,True,0,False,2,2
3120012,대학로(혜화역),2026-09-16,False,발달상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,11,True,42,True,3,True,0,False,56,3
3120011,종로4가,2026-09-16,False,발달상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,3,True,3,True,0,False,0,False,6,2
3120016,동대문역,2026-09-16,False,발달상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,2,True,1,True,0,False,0,False,3,2
3120015,종로6가,2026-09-16,False,발달상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,2,True,3,True,0,False,0,False,5,2
3120014,종로5가역,2026-09-16,False,발달상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,2,True,3,True,0,False,0,False,5,2
3120013,이화사거리,2026-09-16,False,발달상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,2,True,6,True,1,True,0,False,9,3
3120009,종로3가역,2026-09-16,False,발달상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,44,True,6,True,3,True,0,False,53,3
3120010,원남동사거리,2026-09-16,False,발달상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,4,True,2,True,0,False,0,False,6,2
3120008,인사동,2026-09-16,False,발달상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,49,True,7,True,4,True,0,False,60,3
3120007,북촌(안국역),2026-09-16,False,발달상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,62,True,6,True,2,True,0,False,70,3
3120006,종각역,2026-09-16,False,발달상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,44,True,7,True,2,True,0,False,53,3
3120005,삼청동,2026-09-16,False,발달상권,base_50pct_all_periods,source_snapshot_partial,mixed_source_status,38,True,3,True,1,True,0,False,42,3
3120004,종로구청,2026-09-16,False,발달상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,48,True,6,True,1,True,0,False,55,3
