area_code,time_slot,purpose,inflow_count,source_row_count,time_slot_inflow_total,purpose_share,source_period
3001491,daytime,commute,8765.211228073742,93,59072.33400184545,0.1483809870759451,20260801-20260831
3001491,daytime,other,41466.78346270273,93,59072.33400184545,0.7019662277337356,20260801-20260831
3001491,daytime,return_home,7411.196606270021,93,59072.33400184545,0.12545968821950546,20260801-20260831
3001491,daytime,school,299.6720929158694,93,59072.33400184545,0.005072968555914983,20260801-20260831
3001491,daytime,tourism,1129.4706118830807,62,59072.33400184545,0.01912012841489885,20260801-20260831
3001491,evening,commute,572.3666875254398,93,45681.28831317143,0.012529565357297672,20260801-20260831
3001491,evening,other,32597.6810377408,93,45681.28831317143,0.7135893544478211,20260801-20260831
3001491,evening,return_home,11669.49477095432,93,45681.28831317143,0.2554545898739379,20260801-20260831
3001491,evening,school,26.840907162549684,76,45681.28831317143,0.0005875689621216431,20260801-20260831
3001491,evening,tourism,814.9049097883247,62,45681.28831317143,0.017838921358821674,20260801-20260831
3001491,morning,commute,14199.929855083543,93,26972.49828569262,0.5264595702139983,20260801-20260831
3001491,morning,other,10695.751243019145,93,26972.49828569262,0.3965428463366567,20260801-20260831
3001491,morning,return_home,1294.9227099056634,93,26972.49828569262,0.048009001472160494,20260801-20260831
3001491,morning,school,558.9437308518833,90,26972.49828569262,0.02072272745859701,20260801-20260831
3001491,morning,tourism,222.9507468323879,62,26972.49828569262,0.008265854518587572,20260801-20260831
3001491,night,commute,280.8017044008152,93,19444.037045333906,0.014441533090382624,20260801-20260831
3001491,night,other,14375.68544705376,93,19444.037045333906,0.7393364563920934,20260801-20260831
3001491,night,return_home,4679.5825497034075,93,19444.037045333906,0.24066928790522918,20260801-20260831
3001491,night,school,9.305583991609886,44,19444.037045333906,0.00047858291824449077,20260801-20260831
3001491,night,tourism,98.66176018431358,59,19444.037045333906,0.0050741396940503156,20260801-20260831
3001492,daytime,commute,32800.04110585888,124,248904.75172388018,0.13177748065752176,20260801-20260831
3001492,daytime,other,193984.00591904813,124,248904.75172388018,0.7793503521951328,20260801-20260831
3001492,daytime,return_home,4930.0062849296755,124,248904.75172388018,0.01980679858775346,20260801-20260831
3001492,daytime,school,2556.76321233059,124,248904.75172388018,0.01027205464991246,20260801-20260831
3001492,daytime,shopping,13958.9201621323,93,248904.75172388018,0.05608137275586237,20260801-20260831
3001492,daytime,tourism,675.0150395806371,124,248904.75172388018,0.002711941153817175,20260801-20260831
3001492,evening,commute,1199.2114392691813,124,78904.8544269984,0.01519819595356676,20260801-20260831
3001492,evening,other,67805.4858147682,124,78904.8544269984,0.8593322465032975,20260801-20260831
3001492,evening,return_home,5956.684471037478,124,78904.8544269984,0.07549198986924834,20260801-20260831
3001492,evening,school,123.72534742749156,109,78904.8544269984,0.0015680321359943755,20260801-20260831
3001492,evening,shopping,3403.9958359898824,93,78904.8544269984,0.04314051221194773,20260801-20260831
3001492,evening,tourism,415.7515185061653,124,78904.8544269984,0.005269023325945205,20260801-20260831
3001492,morning,commute,147149.8876983369,124,197829.0775647738,0.7438233525107383,20260801-20260831
3001492,morning,other,41184.25770749292,124,197829.0775647738,0.20818101269267783,20260801-20260831
3001492,morning,return_home,1653.6792780809244,124,197829.0775647738,0.008359131521196482,20260801-20260831
3001492,morning,school,6696.865079466241,122,197829.0775647738,0.0338517732676256,20260801-20260831
3001492,morning,shopping,1018.6130405340624,93,197829.0775647738,0.005148955113540097,20260801-20260831
