area_code,area_name,area_type_name,minimum_period_ratio,mean_period_ratio,access_tier,study_public_inside_count,poi_public_library_inside_count,poi_reading_room_inside_count,poi_university_learning_facility_inside_count,poi_youth_space_inside_count,study_public_buffer400_count,poi_public_library_buffer400_count,poi_reading_room_buffer400_count,poi_university_learning_facility_buffer400_count,poi_youth_space_buffer400_count,study_public_nearby_only_count,feature_snapshot_date,reachability_rule,source_scope
3001491,이태원 관광특구,관광특구,0.8622754491017964,0.8882235528942116,core_80pct_all_periods,0,0,0,0,0,0,0,0,0,0,0,2026-09-21,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%,"public_library, reading_room, youth_space, university_learning_facility(public_access_verified=1)"
3001492,명동 남대문 북창동 다동 무교동 관광특구,관광특구,0.937125748502994,0.9580838323353293,core_80pct_all_periods,0,0,0,0,0,4,1,0,0,3,4,2026-09-21,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%,"public_library, reading_room, youth_space, university_learning_facility(public_access_verified=1)"
3001493,동대문패션타운 관광특구,관광특구,0.9970059880239521,0.999001996007984,core_80pct_all_periods,0,0,0,0,0,6,6,0,0,0,6,2026-09-21,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%,"public_library, reading_room, youth_space, university_learning_facility(public_access_verified=1)"
3001494,종로·청계 관광특구,관광특구,0.9940119760479041,0.9950099800399202,core_80pct_all_periods,1,0,0,0,1,4,2,0,0,2,3,2026-09-21,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%,"public_library, reading_room, youth_space, university_learning_facility(public_access_verified=1)"
3001495,잠실 관광특구,관광특구,0.6646706586826348,0.6806387225548902,base_50pct_all_periods,0,0,0,0,0,2,2,0,0,0,2,2026-09-21,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%,"public_library, reading_room, youth_space, university_learning_facility(public_access_verified=1)"
3001496,강남 마이스 관광특구,관광특구,0.3413173652694611,0.34431137724550903,exploration_25pct_all_periods,0,0,0,0,0,1,1,0,0,0,1,2026-09-21,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%,"public_library, reading_room, youth_space, university_learning_facility(public_access_verified=1)"
3110002,독립문역 1번,골목상권,0.5748502994011976,0.6317365269461078,base_50pct_all_periods,1,1,0,0,0,3,2,1,0,0,2,2026-09-21,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%,"public_library, reading_room, youth_space, university_learning_facility(public_access_verified=1)"
3110004,대신고등학교,골목상권,0.5748502994011976,0.6317365269461078,base_50pct_all_periods,0,0,0,0,0,4,4,0,0,0,4,2026-09-21,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%,"public_library, reading_room, youth_space, university_learning_facility(public_access_verified=1)"
3110007,사직공원(한국사회과학도서관),골목상권,0.5508982035928144,0.6147704590818363,base_50pct_all_periods,0,0,0,0,0,2,2,0,0,0,2,2026-09-21,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%,"public_library, reading_room, youth_space, university_learning_facility(public_access_verified=1)"
3110008,배화여자대학교(박노수미술관),골목상권,0.6916167664670658,0.7235528942115769,base_50pct_all_periods,0,0,0,0,0,2,2,0,0,0,2,2026-09-21,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%,"public_library, reading_room, youth_space, university_learning_facility(public_access_verified=1)"
3110012,성곡미술관,골목상권,0.7754491017964071,0.7894211576846307,base_50pct_all_periods,0,0,0,0,0,1,1,0,0,0,1,2026-09-21,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%,"public_library, reading_room, youth_space, university_learning_facility(public_access_verified=1)"
3110013,체부동홍종문가옥,골목상권,0.6916167664670658,0.7235528942115769,base_50pct_all_periods,0,0,0,0,0,1,1,0,0,0,1,2026-09-21,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%,"public_library, reading_room, youth_space, university_learning_facility(public_access_verified=1)"
3110015,청와대사랑채,골목상권,0.6916167664670658,0.7235528942115769,base_50pct_all_periods,0,0,0,0,0,2,2,0,0,0,2,2026-09-21,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%,"public_library, reading_room, youth_space, university_learning_facility(public_access_verified=1)"
3110017,정독도서관,골목상권,0.5538922155688623,0.6177644710578841,base_50pct_all_periods,0,0,0,0,0,1,1,0,0,0,1,2026-09-21,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%,"public_library, reading_room, youth_space, university_learning_facility(public_access_verified=1)"
3110018,중앙고등학교,골목상권,0.7485029940119761,0.7844311377245509,base_50pct_all_periods,0,0,0,0,0,1,1,0,0,0,1,2026-09-21,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%,"public_library, reading_room, youth_space, university_learning_facility(public_access_verified=1)"
3110019,창덕궁,골목상권,0.9431137724550899,0.9610778443113773,core_80pct_all_periods,0,0,0,0,0,2,1,0,0,1,2,2026-09-21,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%,"public_library, reading_room, youth_space, university_learning_facility(public_access_verified=1)"
