area_code,area_km2,study_cafe_inside_count,starbucks_inside_count
3001491,0.37228558355344077,1.0,1.0
3001492,0.9828817971994295,0.0,12.0
3001493,0.6056013616241605,0.0,5.0
3001494,0.6526362010529243,10.0,3.0
3001495,2.4608282285006786,3.0,4.0
3001496,0.2377100963824016,0.0,4.0
3110002,0.03150759579122671,0.0,0.0
3110004,0.01876672662819417,1.0,0.0
3110007,0.08019204423952883,0.0,0.0
3110008,0.14915308452673223,0.0,0.0
3110012,0.12425490956837965,0.0,0.0
3110013,0.01705162777868179,0.0,0.0
3110015,0.06934714711552566,0.0,0.0
3110017,0.08379236964330669,0.0,0.0
3110018,0.16674711976011677,0.0,0.0
3110019,0.04096809436264281,0.0,0.0
3110020,0.1335911076583044,0.0,0.0
3110021,0.07759711319076361,1.0,1.0
3110022,0.060136486136429246,0.0,0.0
3110023,0.015956911105151857,0.0,0.0
3110024,0.0528100522585577,1.0,0.0
3110025,0.03915424083807091,1.0,0.0
3110026,0.016472795030793855,0.0,0.0
3110027,0.11758466142715536,2.0,0.0
3110028,0.15900396664663324,0.0,0.0
3110029,0.15311445932271464,0.0,0.0
3110030,0.009154068849418382,0.0,0.0
3110031,0.03285271798579732,0.0,0.0
3110032,0.009315769530419937,0.0,0.0
3110033,0.07781033946123883,0.0,0.0
3110034,0.02958121483593143,0.0,0.0
3110035,0.09570617638347886,0.0,0.0
3110036,0.01841684137333167,0.0,0.0
3110037,0.05518974509617155,0.0,0.0
3110038,0.036865762383742534,0.0,0.0
3110039,0.009920363899119102,0.0,0.0
3110040,0.07618451440489142,0.0,0.0
3110041,0.1304626481130644,0.0,0.0
3110042,0.07255247341064666,1.0,0.0
3110043,0.10997507009469597,0.0,0.0
3110044,0.02955256063670885,0.0,0.0
3110045,0.04478651160087404,0.0,0.0
3110046,0.05796960881579884,0.0,0.0
3110047,0.08532177735945215,0.0,0.0
3110048,0.13550432464882747,0.0,1.0
3110049,0.07063925925064313,1.0,0.0
3110050,0.0345269828630637,0.0,0.0
3110051,0.04485881782918342,0.0,0.0
3110052,0.06884116595755511,0.0,0.0
3110053,0.08548516633671023,0.0,0.0
3110054,0.06910301477361261,2.0,0.0
3110055,0.027554636747238462,0.0,0.0
3110056,0.12950938038681883,0.0,0.0
3110057,0.030207436768605943,1.0,0.0
3110058,0.13551949306967537,0.0,0.0
3110060,0.09464849016130768,0.0,0.0
3110061,0.1001741771520505,0.0,0.0
3110062,0.13258536061031218,0.0,0.0
3110063,0.11024695358730467,0.0,0.0
3110064,0.13145173796604231,1.0,0.0
3110065,0.018051613282020186,0.0,0.0
3110066,0.13363771620633774,0.0,1.0
3110067,0.20478351799777092,0.0,0.0
3110068,0.14520408356620065,1.0,0.0
3110069,0.17341276627832342,8.0,0.0
3110071,0.027762444743674307,0.0,0.0
3110072,0.018076890978920585,0.0,0.0
